City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alamogordo,32.8995,-105.9603,31.26,36,0,2.06,US,1722883115
84,praia da vitoria,38.7333,-27.0667,28.14,69,40,3.2,PT,1722883116
85,remire-montjoly,4.9167,-52.2667,32.02,66,40,7.2,GF,1722882947
86,tibati,6.4667,12.6333,20.63,93,100,0.34,CM,1722883118
87,puerto leguizamo,-0.1934,-74.7819,25.89,94,76,1.41,CO,1722883120
88,isafjordur,66.0755,-23.124,11.02,76,75,7.2,IS,1722883124
89,grytviken,-54.2811,-36.5092,-8.31,76,100,4.8,GS,1722883125
90,lorengau,-2.0226,147.2712,26.93,81,87,3.27,PG,1722883126
91,zakamensk,50.3741,103.2863,11.71,94,100,0.59,RU,1722883127
92,puerto natales,-51.7236,-72.4875,1.25,86,40,1.03,CL,1722882840
93,hiriyur,13.9456,76.6192,23.76,84,100,6.14,IN,1722883129
94,geraldton,-28.7667,114.6,9.23,93,0,5.66,AU,1722883130
95,baukau,51.5526,7.2042,24.01,61,63,1.46,DE,1722883131
96,el calafate,-50.3408,-72.2768,0.45,86,71,2.09,AR,1722883132
97,mwene-ditu,-7.0,23.45,25.66,21,3,1.41,CD,1722883133
98,moengo,5.6167,-54.4,33.07,48,84,1.77,SR,1722883134
99,iron river,46.0927,-88.6423,21.97,43,100,1.11,US,1722883135
100,al fqih ben calah,32.5009,-6.6906,38.4,14,0,5.62,MA,1722883137
101,jamestown,42.097,-79.2353,28.1,68,75,4.47,US,1722883039
102,sandnessjoen,66.0217,12.6316,21.06,68,0,3.6,NO,1722883139
103,lihue,21.9789,-159.3672,26.76,71,0,5.14,US,1722883140
104,ituango,7.1712,-75.764,25.71,71,93,1.6,CO,1722883141
105,edinburgh of the seven seas,-37.0676,-12.3116,13.74,91,92,11.02,SH,1722883142
106,riohacha,11.5444,-72.9072,33.06,70,40,5.14,CO,1722883143
107,mabaruma,8.2,-59.7833,25.48,95,100,1.72,GY,1722883144
108,port alfred,-33.5906,26.891,13.87,60,0,4.81,ZA,1722883145
109,vorgashor,67.5833,63.95,6.22,72,6,3.03,RU,1722883146
110,puerto ayora,-0.7393,-90.3518,24.98,78,59,5.32,EC,1722883148
111,longyearbyen,78.2186,15.6401,10.91,76,20,7.72,SJ,1722883149
112,port mathurin,-19.6833,63.4167,22.44,77,14,8.97,MU,1722883150
113,tura,25.5198,90.2201,24.31,99,100,2.54,IN,1722883152
114,juiz de fora,-21.7642,-43.3503,23.18,52,100,1.25,BR,1722883153
115,nyurba,63.2842,118.3319,14.58,82,97,2.54,RU,1722883154
116,lata,40.1629,-8.3327,22.26,66,0,2.89,PT,1722883155
117,laibin,23.7,109.2667,26.73,86,36,1.58,CN,1722883157
118,changping,40.2186,116.2197,24.8,78,0,1.45,CN,1722883159
119,west island,-12.1568,96.8225,24.99,78,73,3.6,CC,1722883160
120,igarka,67.4667,86.5833,8.67,71,99,5.34,RU,1722883161
121,dunedin,-45.8742,170.5036,5.45,86,32,2.9,NZ,1722883163
122,vanimo,-2.6741,141.3028,24.65,89,99,1.93,PG,1722883164
123,klaksvik,62.2266,-6.589,11.51,85,2,3.46,FO,1722883165
124,merizo village,13.2658,144.6691,26.1,77,100,2.33,GU,1722883167
125,codrington,-38.2667,141.9667,5.77,96,100,5.1,AU,1722883168
126,yerofey pavlovich,53.9667,121.9667,11.31,95,36,1.29,RU,1722883169
127,sullivan,36.5168,-82.5332,31.45,57,40,1.54,US,1722883170
128,utrik,11.2278,169.8474,28.03,81,94,6.73,MH,1722883171
129,nieuw amsterdam,5.8833,-55.0833,35.01,49,40,2.06,SR,1722883172
130,agat village,13.3886,144.6585,26.31,88,0,0.0,GU,1722883173
131,torrington,41.8007,-73.1212,30.34,61,7,0.89,US,1722883175
132,hawaiian paradise park,19.5933,-154.9731,25.95,82,97,0.45,US,1722883176
133,sorong,-0.8833,131.25,24.59,93,71,3.1,ID,1722883177
134,alotau,-10.3069,150.4462,23.04,96,99,2.05,PG,1722883178
135,qianzhou,28.3167,109.7167,25.42,86,74,0.8,CN,1722883179
136,tazovsky,67.4667,78.7,7.8,70,99,5.96,RU,1722883180
137,avarua,-21.2078,-159.775,24.03,83,2,4.12,CK,1722883181
138,kosh-agach,50.0,88.6667,7.98,81,9,1.2,RU,1722883182
139,arawa,-6.2132,155.5367,24.36,91,100,1.44,PG,1722883183
140,east london,-33.0153,27.9116,11.52,66,0,3.09,ZA,1722883184
141,mahabad,36.7631,45.7222,25.65,29,0,1.64,IR,1722883185
142,punta arenas,-53.15,-70.9167,0.85,80,20,4.12,CL,1722883186
143,invercargill,-46.4,168.35,3.34,92,95,1.79,NZ,1722883187
144,gao,16.6362,1.637,34.17,43,21,3.11,ML,1722883189
145,tiksi,71.6872,128.8694,11.34,76,100,2.56,RU,1722883190
146,tommot,58.9564,126.2925,13.96,97,100,2.49,RU,1722883071
147,bokakhat,26.6333,93.6,25.47,97,100,0.96,IN,1722883192
148,kailua-kona,19.6406,-155.9956,26.65,81,40,2.57,US,1722883193
149,saipan,15.1355,145.701,27.39,89,0,2.06,MP,1722883194
150,ribeira grande,38.5167,-28.7,27.22,83,20,5.14,PT,1722883195
151,yazman,29.1212,71.7446,35.83,45,83,3.72,PK,1722883196
152,paradip garh,20.3167,86.6167,28.24,81,100,3.18,IN,1722883197
153,buka,40.8108,69.1986,24.46,25,0,1.49,UZ,1722883198
154,mogok,22.9167,96.5,17.64,99,100,1.06,MM,1722883199
155,punta alta,-38.8759,-62.0736,17.32,35,98,2.63,AR,1722883200
156,talnakh,69.4865,88.3972,8.38,69,0,1.67,RU,1722883201
157,chibougamau,49.9168,-74.3659,13.79,77,100,3.09,CA,1722883202
158,hami,42.8,93.45,27.49,26,7,2.08,CN,1722883204
159,amungan,15.3652,119.9582,26.65,85,96,2.46,PH,1722883205
160,palmer,42.1584,-72.3287,30.37,59,40,1.54,US,1722883206
161,san patricio,28.017,-97.5169,33.55,40,12,2.9,US,1722883207
162,boa vista,2.8197,-60.6733,31.99,55,40,2.06,BR,1722883036
163,trincomalee,8.5711,81.2335,26.67,82,57,7.1,LK,1722883212
164,mendi,-6.1761,143.6513,11.23,98,100,1.45,PG,1722883213
165,urucara,-2.5364,-57.76,37.3,23,6,2.6,BR,1722883214
166,kapuskasing,49.4169,-82.4331,19.0,48,75,3.6,CA,1722883215
167,georgetown,5.4112,100.3354,26.97,78,20,1.03,MY,1722883037
168,kyzyl-mazhalyk,51.1333,90.6,13.33,91,98,1.63,RU,1722883217
169,lloydminster,53.2835,-110.0016,14.12,94,100,6.17,CA,1722883162
170,carloforte,39.145,8.3058,24.61,81,94,6.66,IT,1722883219
171,orapa,-21.2833,25.3667,18.58,19,0,4.47,BW,1722883221
172,enewetak,11.3474,162.3373,28.64,73,83,2.19,MH,1722883222
173,polyarnyy,69.1989,33.4478,11.07,75,3,2.6,RU,1722883223
174,eureka,40.8021,-124.1637,15.07,90,88,0.89,US,1722883111
175,luderitz,-26.6481,15.1594,13.32,66,0,7.35,NA,1722883225
176,radzyn podlaski,51.7833,22.6167,14.76,89,100,2.72,PL,1722883226
177,divnomorskoye,44.5011,38.1353,22.37,84,24,2.03,RU,1722883227
